name,model,num_threads,enable_coral,frame_height,frame_width,duration,cpu_avail_start,max_cpu_temp,fps
PyTorch via torchvision,fasterrcnn_mobilenet_v3_large_320_fpn,4,False,480,640,30.323045253753662,100.0,37.972,1.088281197480156
YOLOv5 via PyTorch Hub,ultralytics/yolov5,4,False,480,640,30.388265371322632,100.0,37.972,1.0530380595596076
TensorFlow Lite via tflite_support,data/tflite/efficientdet_lite0.tflite,4,False,480,640,30.047236442565918,100.0,36.998,8.4533564504513
TensorFlow Lite via tflite_support w/Coral TPU,data/tflite/efficientdet_lite0_edgetpu.tflite,4,True,480,640,30.180863618850708,100.0,33.102,5.367639642320116
TensorFlow Lite via tflite_support,efficientdet_lite0.tflite,4,False,480,640,30.076460123062134,100.0,38.946,14.33014384792964
TensorFlow Lite via tflite_support w/Coral TPU,efficientdet_lite0_edgetpu.tflite,4,True,480,640,30.020956993103027,100.0,32.128,24.84930777427865
PyTorch via torchvision,fasterrcnn_mobilenet_v3_large_320_fpn,4,False,480,640,30.280321836471558,100.0,36.024,1.1558661823020573
YOLOv5 via PyTorch Hub,ultralytics/yolov5,4,False,480,640,30.372302532196045,100.0,37.972,1.053591507133136
TensorFlow Lite via tflite_support,data/tflite/efficientdet_lite0.tflite,4,False,480,640,30.066067934036255,100.0,36.998,8.448061800341362
TensorFlow Lite via tflite_support w/Coral TPU,data/tflite/efficientdet_lite0_edgetpu.tflite,4,True,480,640,30.059536695480347,100.0,33.102,5.222968058040828
TensorFlow Lite via tflite_support,efficientdet_lite0.tflite,4,False,480,640,30.000076055526733,100.0,38.459,14.333296995784906
TensorFlow Lite via tflite_support w/Coral TPU,efficientdet_lite0_edgetpu.tflite,4,True,480,640,30.00950026512146,100.0,31.641,23.29262379661859
PyTorch via torchvision,fasterrcnn_mobilenet_v3_large_320_fpn,4,False,480,640,30.274001598358154,100.0,35.537,1.0900442048529748
YOLOv5 via PyTorch Hub,ultralytics/yolov5,4,False,480,640,30.24445605278015,100.0,38.459,1.0580451486433156
TensorFlow Lite via tflite_support,data/tflite/efficientdet_lite0.tflite,4,False,480,640,30.035762071609497,100.0,37.485,8.389998542377464
TensorFlow Lite via tflite_support w/Coral TPU,data/tflite/efficientdet_lite0_edgetpu.tflite,4,True,480,640,30.19829034805298,100.0,33.102,5.331427645220333
TensorFlow Lite via tflite_support,efficientdet_lite0.tflite,4,False,480,640,30.047747135162354,100.0,38.946,14.37711779378184
TensorFlow Lite via tflite_support w/Coral TPU,efficientdet_lite0_edgetpu.tflite,4,True,480,640,30.029919862747192,100.0,32.128,24.57549015691867
PyTorch via torchvision,fasterrcnn_mobilenet_v3_large_320_fpn,4,False,480,640,30.074904918670654,100.0,36.998,1.1970112656167042
YOLOv5 via PyTorch Hub,ultralytics/yolov5,4,False,480,640,30.326491594314575,100.0,37.972,1.0551830534198412
TensorFlow Lite via tflite_support,data/tflite/efficientdet_lite0.tflite,4,False,480,640,30.02032971382141,100.0,36.998,8.394311534958884
TensorFlow Lite via tflite_support w/Coral TPU,data/tflite/efficientdet_lite0_edgetpu.tflite,4,True,480,640,30.171149969100952,100.0,32.128,4.308751908135299
TensorFlow Lite via tflite_support,efficientdet_lite0.tflite,4,False,480,640,30.049561500549316,100.0,38.946,14.376249716392797
TensorFlow Lite via tflite_support w/Coral TPU,efficientdet_lite0_edgetpu.tflite,4,True,480,640,30.011955976486206,100.0,32.128,25.356561251663468
PyTorch via torchvision,fasterrcnn_mobilenet_v3_large_320_fpn,4,False,480,640,30.600285530090332,100.0,36.024,1.2091390442620742
YOLOv5 via PyTorch Hub,ultralytics/yolov5,4,False,480,640,30.444215059280396,100.0,37.485,1.0511028100967692
TensorFlow Lite via tflite_support,data/tflite/efficientdet_lite0.tflite,4,False,480,640,30.099904537200928,0,37.485,8.438564969070834
TensorFlow Lite via tflite_support w/Coral TPU,data/tflite/efficientdet_lite0_edgetpu.tflite,4,True,480,640,30.02407670021057,100.0,32.615,4.962683831638193
TensorFlow Lite via tflite_support,efficientdet_lite0.tflite,4,False,480,640,30.0368754863739,100.0,39.433,14.349029085782284
