name,model,num_threads,enable_coral,frame_height,frame_width,duration,cpu_avail_start,max_cpu_temp,fps
PyTorch via torchvision,fasterrcnn_mobilenet_v3_large_320_fpn,4,False,480,640,30.644847869873047,100.0,49.173,1.2726445947979694
YOLOv5 via PyTorch Hub,ultralytics/yolov5,4,False,480,640,30.53166937828064,100.0,52.095,1.1463506815286688
TensorFlow Lite via tflite_support,data/tflite/efficientdet_lite0.tflite,4,False,480,640,30.04225516319275,100.0,49.66,9.453351569556999
TensorFlow Lite via tflite_support w/Coral TPU,data/tflite/efficientdet_lite0_edgetpu.tflite,4,True,480,640,30.07786273956299,100.0,43.329,5.75173846286771
TensorFlow Lite via tflite_support,efficientdet_lite0.tflite,4,False,480,640,30.02515411376953,100.0,52.582,15.886679488557492
TensorFlow Lite via tflite_support w/Coral TPU,efficientdet_lite0_edgetpu.tflite,4,True,480,640,30.033443212509155,100.0,40.407,25.03875412083242
PyTorch via torchvision,fasterrcnn_mobilenet_v3_large_320_fpn,4,False,480,640,30.68507480621338,100.0,48.199,1.3035653408901078
YOLOv5 via PyTorch Hub,ultralytics/yolov5,4,False,480,640,30.631593465805054,100.0,52.095,1.1426111422858731
TensorFlow Lite via tflite_support,data/tflite/efficientdet_lite0.tflite,4,False,480,640,30.008236408233643,100.0,50.147,9.464068335654549
TensorFlow Lite via tflite_support w/Coral TPU,data/tflite/efficientdet_lite0_edgetpu.tflite,4,True,480,640,30.1551353931427,100.0,42.842,5.803323305250194
TensorFlow Lite via tflite_support,efficientdet_lite0.tflite,4,False,480,640,30.017707586288452,100.0,52.582,15.890620515534804
TensorFlow Lite via tflite_support w/Coral TPU,efficientdet_lite0_edgetpu.tflite,4,True,480,640,30.016406774520874,100.0,40.407,25.486061864318902
PyTorch via torchvision,fasterrcnn_mobilenet_v3_large_320_fpn,4,False,480,640,30.7279634475708,100.0,48.686,1.1390276501636143
YOLOv5 via PyTorch Hub,ultralytics/yolov5,4,False,480,640,30.420787572860718,100.0,51.608,1.150529055704808
